Method,NumThreads,Dimension,RunTime
Left rect,1,100,0.0024377
Left rect,1,1000,0.124963
Left rect,1,10000,11.4944
Left rect,1,50000,307.385
Left rect,1,100000,1130.34
Right rect,1,100,0.0026102
Right rect,1,1000,0.11727
Right rect,1,10000,12.3742
Right rect,1,50000,278.981
Right rect,1,100000,1129.07
Middle rect,1,100,0.0025184
Middle rect,1,1000,0.108281
Middle rect,1,10000,10.8812
Middle rect,1,50000,282.052
Middle rect,1,100000,1155.32
Trap,1,100,0.002583
Trap,1,1000,0.109384
Trap,1,10000,10.6477
Trap,1,50000,324.996
Trap,1,100000,1459.04
Simpson,1,100,0.0045423
Simpson,1,1000,0.139761
Simpson,1,10000,12.1518
Simpson,1,50000,346.061
Simpson,1,100000,1193.72
Monte Carlo,1,1000,0.0018777
Monte Carlo,1,10000,0.0162859
Monte Carlo,1,100000,0.160742
Monte Carlo,1,1000000,1.61123
Monte Carlo,1,10000000,10.7139
Left rect,2,100,0.0024311
Left rect,2,1000,0.0868765
Left rect,2,10000,7.98097
Left rect,2,50000,206.027
Left rect,2,100000,922.256
Right rect,2,100,0.0047817
Right rect,2,1000,0.123753
Right rect,2,10000,7.46634
Right rect,2,50000,241.301
Right rect,2,100000,899.982
Middle rect,2,100,0.0017905
Middle rect,2,1000,0.0810491
Middle rect,2,10000,7.07496
Middle rect,2,50000,207.101
Middle rect,2,100000,809.323
Trap,2,100,0.0017961
Trap,2,1000,0.0885211
Trap,2,10000,10.3544
Trap,2,50000,218.546
Trap,2,100000,852.7
Simpson,2,100,0.0034741
Simpson,2,1000,0.126997
Simpson,2,10000,8.0876
Simpson,2,50000,224.285
Simpson,2,100000,881.671
Monte Carlo,2,1000,0.0010125
Monte Carlo,2,10000,0.0066984
Monte Carlo,2,100000,0.07489
Monte Carlo,2,1000000,0.739103
Monte Carlo,2,10000000,9.25403
Left rect,3,100,0.0018018
Left rect,3,1000,0.0644388
Left rect,3,10000,5.73488
Left rect,3,50000,157.719
Left rect,3,100000,641.373
Right rect,3,100,0.0035375
Right rect,3,1000,0.0682994
Right rect,3,10000,5.84756
Right rect,3,50000,159.974
Right rect,3,100000,661.454
Middle rect,3,100,0.0014417
Middle rect,3,1000,0.0635005
Middle rect,3,10000,6.15702
Middle rect,3,50000,169.266
Middle rect,3,100000,628.517
Trap,3,100,0.0017524
Trap,3,1000,0.0607956
Trap,3,10000,7.93664
Trap,3,50000,157.1
Trap,3,100000,572.146
Simpson,3,100,0.0022198
Simpson,3,1000,0.0674319
Simpson,3,10000,5.44167
Simpson,3,50000,147.51
Simpson,3,100000,592.343
Monte Carlo,3,1000,0.0011837
Monte Carlo,3,10000,0.0086512
Monte Carlo,3,100000,0.0586298
Monte Carlo,3,1000000,0.564559
Monte Carlo,3,10000000,5.69086
Left rect,4,100,0.0026801
Left rect,4,1000,0.050189
Left rect,4,10000,5.9772
Left rect,4,50000,122.941
Left rect,4,100000,487.977
Right rect,4,100,0.0016401
Right rect,4,1000,0.116195
Right rect,4,10000,4.50141
Right rect,4,50000,118.246
Right rect,4,100000,525.702
Middle rect,4,100,0.0021667
Middle rect,4,1000,0.0514827
Middle rect,4,10000,5.35385
Middle rect,4,50000,126.014
Middle rect,4,100000,476.021
Trap,4,100,0.0029336
Trap,4,1000,0.0490848
Trap,4,10000,4.56828
Trap,4,50000,111.738
Trap,4,100000,512.986
Simpson,4,100,0.0032117
Simpson,4,1000,0.0763886
Simpson,4,10000,6.35204
Simpson,4,50000,122.707
Simpson,4,100000,466.161
Monte Carlo,4,1000,0.0010767
Monte Carlo,4,10000,0.0098689
Monte Carlo,4,100000,0.0576164
Monte Carlo,4,1000000,0.462987
Monte Carlo,4,10000000,5.55523
